1,88,40
1,88,44
2,93,54
2,93,56
3,58,36
3,58,39
4,75,66
5,48,16
6,64,84
7,33,33
8,80,86
9,83,9
10,76,100
11,82,51
12,12,100
13,34,55
14,71,28
15,16,2
16,59,47
17,90,44
18,30,46
19,81,28
20,36,11
21,25,60
22,99,71
23,14,51
24,17,89
25,62,69
26,9,62
27,70,60
28,44,82
29,32,30
30,77,85
31,30,27
32,7,26
33,58,32
34,56,37
35,39,64
36,92,11
37,34,10
38,87,54
39,13,96
40,45,77
41,73,39
42,97,77
43,47,72
44,26,17
45,68,76
46,36,17
47,49,11
48,98,28
49,96,62
50,22,42
4,1,56
55,54,22
33,45,94
9,93,93
31,91,30
46,65,13
11,14,60
73,47,78
44,61,82
17,53,69
21,88,19
80,15,69
80,25,31
71,65,55
40,47,72
26,39,75
7,56,59
68,16,36
53,35,39
36,57,81
4,34,33
20,66,2
50,53,5
87,30,11
42,81,83
78,82,52
87,84,2
47,23,24
24,63,3
89,95,37
