1,88
89,89
1,40
4,75
4,66
6,64
6,84
7,33
8,80
8,86
17,90
17,44
18,30
18,46
89,17
89,70
89,44
29,32
29,30
30,77
30,85
89,30
32,7
32,89
33,89
33,32
35,39
35,64
89,92
38,87
38,89
39,89
39,96
40,45
40,77
41,73
41,39
42,97
42,77
43,89
43,72
44,89
44,17
45,68
45,89
46,89
46,17
89,49
89,98
49,96
49,89
50,89
50,42
4,1
4,89
33,45
33,94
89,91
46,65
73,78
73,89
44,61
17,89
17,53
80,89
89,88
40,72
89,65
89,75
40,89
7,89
89,39
68,89
53,39
53,35
4,33
89,57
87,89
42,89
89,66
78,52
50,53
87,30
78,89
87,84
89,63
89,95
