1,88,40
40,1,40
89,89,89
4,75,66
66,4,66
6,64,84
84,6,84
7,33,33
33,7,33
8,80,86
86,8,86
17,90,44
44,17,44
18,30,46
46,18,46
89,17,89
89,70,89
89,44,89
29,32,30
30,29,30
30,77,85
85,30,85
89,30,89
32,7,89
89,32,89
33,89,32
32,33,32
89,_:z_64,89
35,39,64
64,35,64
89,92,89
89,_:z_34,89
38,87,89
89,38,89
39,89,96
96,39,96
40,45,77
77,40,77
41,73,39
39,41,39
42,97,77
77,42,77
43,89,72
72,43,72
44,89,17
17,44,17
45,68,89
89,45,89
46,89,17
17,46,17
89,49,89
89,98,89
49,96,89
50,89,42
42,50,42
4,1,89
89,4,89
89,_:z_78,89
33,45,94
94,33,94
89,91,30
30,89,30
46,65,89
89,46,89
89,_:z_86,89
89,_:z_89,89
73,89,78
78,73,78
44,61,89
17,53,89
89,80,89
89,88,89
80,89,89
72,40,72
89,65,89
75,89,75
89,_:z_102,89
40,89,72
89,7,89
89,39,75
89,68,89
7,89,89
39,53,39
89,_:z_18,89
68,89,89
33,4,33
53,35,39
89,50,89
89,57,89
89,87,89
4,89,33
89,42,89
89,66,89
52,78,52
50,53,89
87,30,89
42,89,89
78,89,52
87,84,89
89,63,89
89,95,89
