221,WPROHCDQBY,GVga58810,0.5
299,JUPJGEWTCG,RWfh79603,0.5
305,VVFIBAONHB,DYhd09475,0.5
335,QHXWYNRGIB,OGnz62160,0.5
325,UZDSEPQMVW,XZjl48897,0.5
308,OXVIHVSTIW,CKgn37746,0.5
31,PYGBBFUOUR,CWxl85526,0.5
247,TACBDCYKML,MHlb43382,0.5
187,WVKKLAZDFH,WZer92733,0.5
484,XOMBJKWIGL,ZAop88928,0.5
400,LWUMHRYRRK,XMnt29168,0.5
40,VFIILVLERK,NBus24175,0.5
338,CDJKHWNKLQ,MZtm96402,0.5
492,AIKIOZGQAB,MUrx62934,0.5
179,MOGVLKNVMJ,NNhc85863,0.5
374,XFMVNRRGYW,VLpy02694,0.5
419,ARYYAEOATW,JBqh93439,0.5
2,TPUVAAGMBM,YVdx44059,0.5
345,XJIUSQMBPQ,ZJdr88426,0.5
250,QMLJMQCYSU,CSyq04099,0.5
62,UCENZNSLSE,LPro37145,0.5
158,RWNVLCXSIF,HYlb51353,0.5
483,RGOVPLKBOB,XSdf15069,0.5
358,HFGCPCWCST,JRks27785,0.5
454,JVVPCCGTIM,UIho17598,0.5
28,PAGGCUSSWT,MZxz49295,0.5
121,OQSOMOWHDI,RVll99768,0.5
63,WOJXMUKCFU,BBbw15228,0.5
332,BFMZACOAFN,FTha73828,0.5
279,RNTZJZPELB,KZfe08316,0.5
269,MPKENEOQMM,GKue72967,0.5
194,TBUUUHFUZZ,OIbh28895,0.5
42,PNQQDQGEWR,VNzy64724,0.5
499,CHGFGSRRCD,WMwi70682,0.5
271,RVWTFEDPCC,SLtk82949,0.5
442,AITWEQLWHY,OCoa39308,0.5
285,JBLZPLOTNY,MJrw38205,0.5
443,VSYYHNKLHI,NTfz21156,0.5
11,UGCMLFWFNX,DNiu96361,0.5
328,REERCGGIRS,FAre70388,0.5
149,QGQALXZUAO,LAsj79782,0.5
86,FPVIFTOSNB,MPfu18006,0.5
394,CEDMKTKECR,WCtb03601,0.5
275,YEIRDKFPNK,TViy33835,0.5
416,ZOFRFQOIGP,GLmw77199,0.5
399,EKKAAGECSO,SNsp40164,0.5
21,JKLFBUUHHM,KZkn70516,0.5
155,UBXFJDGOGQ,VUql49464,0.5
56,DFZETGRIPL,HDat84149,0.5
295,FTIWNUEHBM,NGbx15722,0.5
184,DGPAXJQZHN,SEgm42446,0.5
33,AVJNTXOLTM,PTkt06436,0.5
363,SVLVFHHSPD,VAib07723,0.5
89,FAQHMPCVWM,COfv21486,0.5
237,SAXJETMBJL,GSja88967,0.5
46,VMRPGECGSY,PFhv91428,0.5
18,HCNPVUPANS,UIoh37166,0.5
488,UXPMATQARC,TCtm47051,0.5
53,LOIOWIZMFG,KSro04925,0.5
92,HKNIEGHMWM,NXhg67933,0.5
196,CPEPZHYQHU,JZrz14370,0.5
228,VDZWFUWMFG,RTlz20819,0.5
130,TUCEVKPPCJ,JFma06385,0.5
415,OZQWMDOAZM,ZHqn87251,0.5
209,WKBKPEOKQB,DVwa44194,0.5
87,LEEXICGYPL,TBpx99361,0.5
364,NTVWYZKFVK,BAnz02290,0.5
7,TQFHEXUIRE,CPhj09088,0.5
234,STEFYIWSHU,YGci93414,0.5
445,LQAETSGMUI,TDqc27348,0.5
147,VAOPDNWAXT,DErd99997,0.5
339,NDOHLRFLGO,ZLjz56726,0.5
146,FAVNUPPJXL,ZPvd39650,0.5
474,JJFVJBYOIV,RKrr56131,0.5
490,OUIVPTMBVJ,LXzw30377,0.5
294,WVMZFNNDKE,KAnl25061,0.5
217,BAXCWUNUIW,HXmx32288,0.5
108,QNWOCIGABR,RGng10080,0.5
323,LVVLUCRQWP,QTmg42445,0.5
24,FGLLBQVLOO,NOma43604,0.5
34,GSSFVGUCSJ,VWww08250,0.5
354,AGZKPYVJWL,SDdx72188,0.5
106,YSEHZGIHAH,TJzm13177,0.5
160,KNFMWSJTPX,EZkp58394,0.5
283,PJBYPZJGKZ,ZWhl98872,0.5
222,ASLQVTFUYO,YQqy38878,0.5
479,ZSFVJYBNLN,ZSwx49486,0.5
199,JFVFQLPUHJ,AHdp24023,0.5
390,VSLDHCJLRG,RBdg92254,0.5
456,BGOIWRTVHB,JFze08441,0.5
37,ABKTMXMGXD,YHvl13226,0.5
254,AKYPGBKKTW,XKag71286,0.5
486,EGPJCWBMMN,CZxv56168,0.5
208,PHJUGLWMZW,RMnm56181,0.5
391,JBCEIFADBT,IUto35912,0.5
252,DHMZSSFZUZ,YAdx90883,0.5
223,GFEHQMEOUB,QCxz39051,0.5
351,UKXZDGRNRS,VSxd92050,0.5
159,ZJLQKLLODD,NEyi78704,0.5
379,ALLNDPWREI,JJhp66345,0.5
85,PENOPEUBCA,MUpg31375,0.5
353,THZDZSJMBL,ENds63629,0.5
201,KDJITJJSKN,QKvc55704,0.5
168,KESFSTAKOT,PLaw47665,0.5
16,DAUFQTHMVQ,RYlz85587,0.5
423,UNRSEBZLBZ,RZjp32681,0.5
226,ROCOJSYGFA,XWcd17351,0.5
26,AJPTXRIAYY,PKvw46410,0.5
215,DFAXLJKZWD,NRvi31964,0.5
407,EMPSOVLUHH,OGug62722,0.5
297,PHMUJZPOZB,TEmu36297,0.5
114,IQRPCBDMZO,KNdt55871,0.5
36,FFQTEGEYYP,EKtx77477,0.5
249,JQABYEYGHZ,ZKhy18386,0.5
377,XAUJFIAVFB,LIuo34485,0.5
373,QKZMLLRTVO,HVib36358,0.5
