t1,_SKm2_norm_2-Y2([060528a5a6dcdc2]),t4
t8,t8,_SKm3_norm_2-Y2([052da714b17cc78])
x1,x5,x5
_SKm1-Y1([9b3d4b91e985a7b]),_SKm1-Y2([9b3d4b91e985a7b]),x3
t8,_SKm4_norm_1-Y3([bcba97097f262dd]),_SKt1-Y2([8fe8e5d15c43cbd])
x9,x5,x5
t1,t3,t3
_SKm1-Y1([37e59276927e290]),_SKm1-Y2([37e59276927e290]),t3
_SKm1-Y1([6148776c62c7f8e]),_SKm1-Y2([6148776c62c7f8e]),x5
t8,_SKm4_norm_2-Y2([43a78886bf5a7a5]),_SKt1-Y2([2ee447f87155305])
t8,_SKm4_norm_1-Y3([afa7c98ca19c31a]),_SKt1-Y2([8d6194da1da5c35])
t8,_SKm3_norm_1-Y3([43a78886bf5a7a5]),_SKt1-Y2([60c012b1f339bb1])
t1,_SKm2_norm_2-Y2([931b8bfc5178316]),t4
_SKm1-Y1([6e08f1d79ab0eab]),_SKm1-Y2([6e08f1d79ab0eab]),x5
x1,x3,x3
