55,71,_SKm2-C([3d7485fa34e92cb])
33,58,32
2,20,_SKm2-C([f8b91af0092e016])
42,97,77
36,57,81
83,42,_SKm2-C([bd428663e45fb49])
96,39,_SKm2-C([bb69905456cebc1])
47,23,24
100,10,_SKm2-C([dab8e9921f746d9])
100,12,_SKm2-C([6ea1dbda93aa3b0])
38,87,54
78,73,_SKm2-C([49c41f191dec290])
54,38,_SKm2-C([eb836bb6f3ee796])
24,47,_SKm2-C([ebe1fc1e44ae2d7])
27,31,_SKm2-C([79ee1421e63a7b9])
46,36,17
44,61,82
5,50,_SKm2-C([39387e832dcd86a])
11,36,_SKm2-C([14d97e54261dcba])
47,16,_SKm2-C([7184c247d8f5ef7])
17,90,44
22,99,71
17,46,_SKm2-C([5c2ba886f7ab0e6])
84,6,_SKm2-C([b450439a1880047])
32,33,_SKm2-C([eeaf9ef03cc3463])
9,83,9
77,42,_SKm2-C([a6563f562b7a72d])
11,20,_SKm2-C([5e36c2de728fe88])
100,_SKm3-B([6ea1dbda93aa3b0]),_SKm3-C([6ea1dbda93aa3b0])
62,26,_SKm2-C([59c660c6d23fa58])
78,82,52
33,45,94
30,29,_SKm2-C([84ec1290604fbf6])
39,13,96
39,53,_SKm2-C([d538b634a64602c])
76,45,_SKm2-C([1db83b664065101])
80,25,31
48,98,28
20,66,2
26,9,62
28,48,_SKm2-C([6e6bd29280484bb])
11,87,_SKm2-C([51fe5a7c35e9ea8])
31,91,30
24,17,89
87,84,2
52,78,_SKm2-C([00299715b939812])
12,12,100
69,17,_SKm2-C([cc1d4bcb9eb0d77])
16,5,_SKm2-C([d997a694e3afa6d])
16,59,47
39,41,_SKm2-C([01c60a877a1da4c])
55,54,22
17,53,69
37,89,_SKm2-C([297104d92a101b9])
19,81,28
89,24,_SKm2-C([2b05d18f853bb2a])
51,23,_SKm2-C([7cd3b33347e2c23])
13,46,_SKm2-C([d592d42ee4e313b])
40,1,_SKm2-C([6874dcd493d1081])
68,16,36
82,28,_SKm2-C([b443570f6ac2a1a])
40,47,72
11,14,60
10,76,100
66,4,_SKm2-C([5a96034bbcedb91])
2,93,54
89,95,37
11,47,_SKm2-C([eed3ad562d85eed])
29,32,30
13,34,55
35,39,64
26,32,_SKm2-C([4e76272c7e77473])
9,93,93
22,55,_SKm2-C([3b9ca95093d1919])
6,64,84
46,65,13
19,21,_SKm2-C([79cc6fac313d2d1])
45,68,76
43,47,72
3,58,36
60,11,_SKm2-C([c78f8e12f15301b])
2,15,_SKm2-C([c8c240e3f2d775f])
25,62,69
4,75,66
21,88,19
9,9,_SKm2-C([a95ae92fe134a5b])
71,22,_SKm2-C([24867bdc262d9e0])
26,39,75
73,47,78
3,24,_SKm2-C([672c0e5bdd0bebb])
17,44,_SKm2-C([9c7d9760968ef20])
44,17,_SKm2-C([f6bf87c92cf74f7])
93,9,_SKm2-C([934524a2c348c77])
69,80,_SKm2-C([3ebaec79301d11b])
30,77,85
50,22,42
28,44,82
72,40,_SKm2-C([8d2379070d46393])
37,34,10
10,37,_SKm2-C([6ac4920dd4e15e4])
60,21,_SKm2-C([3aac53adca4a70b])
31,80,_SKm2-C([e29f207cd8b7d20])
28,14,_SKm2-C([095439910d62ebc])
64,35,_SKm2-C([4cb857190c975c5])
75,26,_SKm2-C([70a26f2cce993af])
42,50,_SKm2-C([d40ae280fbe27f9])
55,13,_SKm2-C([fcac4acb0a74086])
21,25,60
77,40,_SKm2-C([610417c065ad240])
82,44,_SKm2-C([7576077c6e55995])
41,73,39
4,1,56
44,26,17
1,88,40
15,16,2
33,4,_SKm2-C([db79fbb0206b4b5])
8,80,86
54,2,_SKm2-C([b39cf7801f043d7])
81,36,_SKm2-C([b8a123374ad783b])
40,45,77
2,87,_SKm2-C([0dc1747df13c954])
69,25,_SKm2-C([17aa36c8309608d])
94,33,_SKm2-C([f8a83c21f9ac861])
32,7,26
36,3,_SKm2-C([f0dcc7d2efca641])
34,56,37
49,96,62
53,35,39
27,70,60
7,33,33
30,31,_SKm2-C([9e848390d219007])
14,71,28
24,63,3
11,82,51
72,43,_SKm2-C([ab0744bbf4949c6])
46,18,_SKm2-C([47ab01780eb079c])
36,92,11
85,30,_SKm2-C([e154b9eaf03cdd7])
42,81,83
56,4,_SKm2-C([be3be89dd7fadda])
28,19,_SKm2-C([9103a480d52cdff])
7,56,59
31,30,27
59,7,_SKm2-C([dc9c502d9de459b])
71,65,55
47,49,11
36,68,_SKm2-C([38093ace61d5cb8])
60,27,_SKm2-C([a291d14720c55e7])
4,34,33
33,7,_SKm2-C([cd5d9364234dd36])
51,11,_SKm2-C([f2c34c75781c68f])
20,36,11
23,14,51
80,15,69
62,49,_SKm2-C([35291e0b3dd78a3])
18,30,46
87,30,11
5,48,16
50,53,5
86,8,_SKm2-C([cd213222231a91d])
